date	Quarter	GDP
31/3/2005	2005Q1	599.69
30/6/2005	2005Q2	603.75
30/9/2005	2005Q3	608.59
31/12/2005	2005Q4	610.91
31/3/2006	2006Q1	616.65
30/6/2006	2006Q2	626.39
30/9/2006	2006Q3	632.71
31/12/2006	2006Q4	641.03
31/3/2007	2007Q1	643.72
30/6/2007	2007Q2	648.37
30/9/2007	2007Q3	653.85
31/12/2007	2007Q4	655.72
31/3/2008	2008Q1	661.41
30/6/2008	2008Q2	659.74
30/9/2008	2008Q3	657.29
31/12/2008	2008Q4	644.51
31/3/2009	2009Q1	615.62
30/6/2009	2009Q2	616.13
30/9/2009	2009Q3	619.81
31/12/2009	2009Q4	625.36
31/3/2010	2010Q1	630.12
30/6/2010	2010Q2	643.08
30/9/2010	2010Q3	648.11
31/12/2010	2010Q4	653.4
31/3/2011	2011Q1	665.32
30/6/2011	2011Q2	666.41
30/9/2011	2011Q3	669.44
31/12/2011	2011Q4	669.32
31/3/2012	2012Q1	671.9
30/6/2012	2012Q2	672.48
30/9/2012	2012Q3	673.83
31/12/2012	2012Q4	670.71
31/3/2013	2013Q1	669.48
30/6/2013	2013Q2	675.6
30/9/2013	2013Q3	678.64
31/12/2013	2013Q4	681.15
31/3/2014	2014Q1	685.18
30/6/2014	2014Q2	684.47
30/9/2014	2014Q3	686.41
31/12/2014	2014Q4	691.83
31/3/2015	2015Q1	693
30/6/2015	2015Q2	696.62
30/9/2015	2015Q3	698.29
31/12/2015	2015Q4	700.81
31/3/2016	2016Q1	705.78
30/6/2016	2016Q2	708.68
30/9/2016	2016Q3	710.03
