PX LAST	GRIFPBUS Index	GRIFPEX Index	GEIFOABC Index	GEIFOAMP Index	GEIFOAOR Index	GEIFOADE Index	GEIFOAOA Index	GEIFOXBA Index
31-12-16	111	105.6	16.7	16.9	8.4	19.1	3.8	27.3
30-11-16	110.4	105.5	21.7	2.1	10.8	13.1	5.2	22.5
31-10-16	110.5	106	21.9	4.9	4.6	37.7	5.8	23
30-09-16	109.5	104.5	17.2	2.4	-10.2	-3.4	2.3	17
31-08-16	106.3	100.1	0.2	-15.5	-20.7	-1.3	-13.8	16.8
31-07-16	108.3	102.1	-1.4	16.5	18.4	20.7	-1.5	21.1
30-06-16	108.7	103	9.1	3.2	3.6	-5.2	-7.2	27.6
31-05-16	107.9	101.8	18.6	3.2	15.7	9.8	-9	21.5
30-04-16	106.8	100.6	17.2	-4.1	-1.8	10.6	-19.5	21.7
31-03-16	107	100.4	10.3	3.8	-1.7	-8.8	0.5	19.7
29-02-16	106	99.1	7.5	-1.1	3.4	-9.5	-17.8	22.5
31-01-16	107.4	102.3	10.7	1.9	5.8	-6.3	5.3	19
31-12-15	108.4	104.3	15.7	9.7	7.6	17.1	-3.3	15.7
30-11-15	108.9	104.6	22	13.5	-5.4	12.1	-6	11.9
31-10-15	108.1	103.7	18.1	9.8	9.6	2.3	-1.5	17
30-09-15	108.5	103.2	8.7	3.3	17	1	2.5	23.3
31-08-15	108.5	102.4	16	3.6	14.1	-6.4	-4.7	26.3
31-07-15	108.1	102.5	10.6	19.5	4.9	-3.7	-6.3	23
30-06-15	107.6	102	17	0.6	0.5	-2	-3.1	24.2
31-05-15	108.6	103	17.9	-4	13.6	16.9	-0.1	26.7
30-04-15	108.6	103.3	16.8	5.4	6.9	7.5	2.6	26.5
31-03-15	108.1	104	18	6.1	4.8	10.4	12.5	26.9
28-02-15	107	102.7	11.4	7.7	3.8	2	6.5	20.3
31-01-15	106.8	101.8	11	-0.1	3	17.2	-3.7	24.3
31-12-14	105.3	101.1	0.1	7.9	-3	-0.2	0.5	20
30-11-14	104.6	100.3	1.2	-7.4	7	10.7	-5.2	22
31-10-14	103.5	99.2	1	-15	-26.6	-31.4	-19.8	23
30-09-14	105.5	100.4	10.8	9.8	-5.4	0.9	-12.3	30.5
31-08-14	106.5	102.5	15.5	3.8	1.6	8.4	-10.6	29.3
31-07-14	108.1	103.1	14.8	6	-1.2	2.4	-7.2	29.5
30-06-14	109.3	104.3	22.3	4.2	-0.5	0.8	-9	31.7
31-05-14	110	105.4	34.5	11.8	-6.4	-3.5	-10.2	32.7
30-04-14	110.7	106.3	37.5	10	3.2	5.8	-11.2	39.2
31-03-14	110.9	106.5	30.5	1.3	4.8	17.7	-10.6	32.4
28-02-14	111.1	107.8	24.8	6.6	13.2	21.8	-11.3	33
31-01-14	110.9	108.1	23.5	16.3	9.6	11.6	-10.8	23.6
31-12-13	109.3	107.3	21.6	11.6	12	10.8	-6.6	16.6
30-11-13	109.3	107.3	14.6	18	13.1	14	2.6	20
31-10-13	108.2	104.9	10.3	-1.1	19.5	14.7	-3.2	13.3
30-09-13	108.4	105.6	22.1	9.5	19.8	17.2	-3	12.3
31-08-13	107.9	104.1	20.4	9.6	19.7	17.1	-6.7	14.3
31-07-13	106	102	10.7	0.8	5.4	14.8	-19	14.6
30-06-13	105.6	101.9	8.1	5.9	9.3	10.2	-12	13.6
31-05-13	105	100.8	-0.9	-11	2.1	-0.6	-29.2	7.5
30-04-13	103.6	100.1	-7	-3.7	-10.4	-6.9	-22	12
31-03-13	105.4	101.8	-3.9	-8.4	-15	-10.5	-25.7	12.9
28-02-13	105.9	102.6	4.3	-7.7	-8.5	-6	-20	12.5
31-01-13	104.2	99.1	-11.8	-18.5	-31.5	-19.9	-32	13.8
31-12-12	102	97.8	-19.7	-38.1	-31.2	-37.6	-35.8	5.3
30-11-12	101.5	96.2	-29.9	-38	-34	-37.1	-40.7	6
31-10-12	101.1	94.6	-16.4	-42	-59.3	-43.6	-35.6	3.5
30-09-12	101.8	94.6	-16.9	-52.8	-51.4	-52.4	-31.7	8
31-08-12	102.7	94.9	-8.3	-26.4	-49.2	-34.3	-22.7	13.6
31-07-12	102.8	95	-15	-36.3	-40.2	-36.1	-9.8	16.2
30-06-12	104.7	96.5	-2.8	-25	-37.4	-25.2	-0.9	24.7
