date	open	high	low	close	volume
8-14-2008	28.98	29.18	28.47	28.88	4,748,528
8-13-2008	30.84	31.00	29.08	29.22	8,314,161
8-12-2008	30.75	32.17	30.29	31.22	6,611,109
8-11-2008	29.99	30.87	29.91	30.76	7,986,719
8-8-2008	27.51	29.66	27.31	29.43	8,626,905
8-7-2008	27.64	28.13	27.34	27.62	4,214,595
8-6-2008	27.70	27.92	27.06	27.77	4,007,165
8-5-2008	26.75	27.64	26.60	27.64	5,800,815
8-4-2008	27.32	27.45	26.47	26.63	5,551,120
8-1-2008	26.10	27.39	25.80	27.36	14,642,149
7-31, 2008	29.41	29.56	28.60	28.91	4,395,296
7-30, 2008	29.76	29.85	29.10	29.41	2,999,434
7-29, 2008	29.25	29.66	28.75	29.48	4,642,472
9-9, 2009	32.60	34.61	32.60	34.47	6,051,102
