Date	VOW	CDAX	BMW	DAI
13-01-17	151.75	1057.24	87.81	71.33
12-01-17	150.7	1048.04	87.46	70.79
11-01-17	153.15	1058.26	90.13	72.83
10-01-17	148.1	1052.09	89.91	72.23
09-01-17	148.05	1050.65	89.83	71.98
06-01-17	142.6	1053.1	90.51	72.04
05-01-17	143.25	1052.42	90.34	72.05
04-01-17	142.05	1051.72	90.18	72.07
03-01-17	143.75	1053.05	90.83	72.1
02-01-17	140.9	1054.03	89.98	71.18
30-12-16	136.75	1042.86	88.75	70.72
29-12-16	137.95	1040.59	88.52	70.4
28-12-16	141.15	1042.65	89.85	70.87
27-12-16	141.4	1042.26	89.7	70.96
23-12-16	141.85	1039.76	89.96	71.03
22-12-16	143.8	1039.92	89.67	70.91
21-12-16	144.2	1041.01	90.07	71.25
20-12-16	140.9	1039.39	90.25	71.11
19-12-16	139.7	1036.17	90.11	70.98
16-12-16	139.65	1033.33	90	70.62
15-12-16	137.95	1029.63	89.75	70.11
14-12-16	136.8	1020.49	89.05	69.05
13-12-16	136.55	1023.66	88.9	68.96
12-12-16	134.6	1016.2	88.09	68.18
09-12-16	134.85	1017.83	88.77	68.3
08-12-16	136.3	1014.41	88.99	68.24
07-12-16	134.45	998.65	86.32	66.6
06-12-16	130.8	980.88	83.37	64.49
05-12-16	130	972.78	82.4	64.07
02-12-16	127.55	958.99	79.82	62.47
01-12-16	128.1	961.36	80.07	62.39
30-11-16	129.2	971.21	80.41	62.76
29-11-16	129.95	969.58	81.2	63.54
28-11-16	130.9	966.63	82.06	63.99
25-11-16	132.6	976.32	82.79	64.72
24-11-16	133.25	974.68	82.51	64.59
23-11-16	131.75	971.75	82.24	64.5
22-11-16	130.2	976.25	83.3	65.52
21-11-16	130.05	973.43	82.37	65.54
18-11-16	128.05	971.9	81	65.26
17-11-16	129.1	973.67	80.42	65.38
16-11-16	128.2	971.64	80.74	64.8
15-11-16	129.8	976.86	81.53	65.15
14-11-16	129.1	971.89	80.88	64.88
11-11-16	128.7	970.72	80.11	64.77
10-11-16	126.9	968.38	76.78	63.69
09-11-16	126	972.42	76.84	63.89
08-11-16	127.4	960.65	77.31	63.74
07-11-16	127.6	959.18	77.2	63.32
04-11-16	127.55	942.9	75.46	61.85
03-11-16	128.05	949.29	75.23	62.19
02-11-16	129.2	953.06	75.4	62.44
01-11-16	133.55	966.56	78.32	64.12
31-10-16	136	978.89	79.37	64.91
28-10-16	135.65	981.23	80.17	65.34
27-10-16	135.55	983.14	79.92	65.45
26-10-16	134.45	982.79	80.07	65.22
25-10-16	134.8	987.19	79.63	64.88
24-10-16	135.15	988.38	79.59	64.89
21-10-16	133.9	984.63	78.63	64.62
20-10-16	134.25	984.2	79.17	66
19-10-16	132.1	981.03	78.02	65.2
18-10-16	131.5	979.5	77.01	64.34
17-10-16	130.7	968.41	76.34	63.87
14-10-16	131.9	975.04	76.84	64.16
13-10-16	130.55	961.1	75.94	63.2
12-10-16	132.05	970.17	77	64.12
11-10-16	132.5	974.67	77.66	64.41
10-10-16	133.3	978.54	78.09	64.62
07-10-16	130.9	967.16	77.41	63.87
06-10-16	131.9	975.3	78.3	64.35
05-10-16	131.95	976.66	78.18	64.68
04-10-16	130.6	980.25	77.29	64.37
30-09-16	129.15	970.75	74.81	62.71
29-09-16	126.5	962.17	73.7	62.1
28-09-16	126.35	964.93	73.68	62.06
27-09-16	123.95	957.48	73.18	61.5
26-09-16	126.6	960.58	73.73	61.88
23-09-16	129.05	979.17	75.59	63.52
22-09-16	130.45	983.65	76.28	63.42
21-09-16	128.3	963.1	74.36	61.61
20-09-16	127.6	959.62	74.09	61.1
19-09-16	128.75	957.9	73.97	61.33
16-09-16	126.85	949.33	73.42	60.41
15-09-16	130.05	961.13	75.3	61.83
14-09-16	129.8	956.62	75.1	61.53
13-09-16	130.3	956.88	75.41	61.89
12-09-16	130.85	960.42	75.58	62.4
09-09-16	131.7	971.71	76.93	63.46
08-09-16	132.15	981.95	77.44	63.75
07-09-16	133.4	989.13	78.24	64.17
06-09-16	131.35	983.44	77.55	63.29
05-09-16	131.5	982.29	78.24	62.78
02-09-16	131.8	982.88	78.57	62.86
01-09-16	129.7	969.95	77.93	61.7
31-08-16	130.45	973.72	78.01	62.08
30-08-16	130.85	979.35	78.46	62.31
29-08-16	128.4	970.24	76.88	61.23
26-08-16	130.35	973.51	77.23	61.7
25-08-16	127.55	968.53	76.22	61.17
24-08-16	129.65	976.51	77.51	62.12
23-08-16	129.95	974.36	77.48	61.86
22-08-16	127.65	965.73	76.95	61.41
19-08-16	127.9	969.69	77.32	61.41
18-08-16	128.7	974.83	78.84	62.01
17-08-16	128.4	968.04	78.55	61.77
16-08-16	130.55	980.28	79.49	62.52
15-08-16	133.9	986.83	80.5	63.3
12-08-16	132.5	984.83	79.63	62.89
11-08-16	134.6	987.58	80.37	63.08
10-08-16	133.55	979.01	80.19	62.68
09-08-16	133.85	981.6	80.29	62.87
08-08-16	131.15	959.81	77.63	61.17
05-08-16	131.55	954.66	77.92	61.03
04-08-16	128.7	942.27	75.84	59.34
03-08-16	126.55	937	75.81	59.35
02-08-16	127.15	935.79	75.41	58.91
01-08-16	132	952.11	77.13	60.71
29-07-16	132.65	952.59	77.05	60.82
28-07-16	130.9	947.25	75.97	60.31
27-07-16	136.75	951.72	78.36	61.92
26-07-16	132.85	944.8	76.78	60.76
25-07-16	131.7	940.32	76.14	59.95
22-07-16	130.1	935.59	75.5	59.51
21-07-16	130.9	935.62	75.98	59.45
20-07-16	131.3	935.14	75.39	58.68
19-07-16	127.4	921.66	73.58	57.66
18-07-16	127.5	927.14	74.91	58.31
15-07-16	127.55	926.35	74.66	58.39
14-07-16	127.65	926.54	74.74	58.49
13-07-16	125.25	915.2	72.98	57.26
12-07-16	127.35	917.62	73.31	57.65
11-07-16	123.55	907.3	70.04	55.22
08-07-16	121.7	888.92	68.44	54.15
07-07-16	116.85	870.44	65.6	52.28
06-07-16	118.1	865.36	65.1	51.97
05-07-16	119.05	879.38	65.21	52.27
04-07-16	121.65	895.59	66.79	54.24
01-07-16	126	902.49	67.79	54.74
30-06-16	120.4	892.55	65.79	53.52
29-06-16	120.1	886.13	65.88	53.73
28-06-16	123.2	871.09	65.83	53.68
27-06-16	120.1	855.1	65.67	53.37
24-06-16	127.6	883.75	68.66	55.06
23-06-16	134.95	941.47	74.25	59.99
22-06-16	130.6	925.62	72.47	59
21-06-16	132	921.22	72.64	58.66
20-06-16	134.1	917.57	72.24	58.35
17-06-16	129.2	887.86	68.97	55.87
16-06-16	125.5	879.94	68.3	55.31
15-06-16	128.75	886.26	68.56	55.51
14-06-16	126.8	878.84	67.6	55.05
13-06-16	128.65	891.43	69.34	56.37
10-06-16	132.05	908.08	70.7	57.51
09-06-16	133.75	930.87	71.84	58.78
08-06-16	136.95	941.81	73	59.61
07-06-16	139.4	947.56	73.83	60.12
06-06-16	137.35	933.19	72.24	59.36
03-06-16	134.95	931.4	72.27	59.28
02-06-16	140.2	940.4	74.05	60.61
01-06-16	137.15	939.33	73.93	60.35
31-05-16	138.75	944.28	75.89	61.39
30-05-16	141.35	949.34	75.76	61.6
27-05-16	140.05	945.96	75.16	60.68
26-05-16	139.5	944.72	75.45	60.89
25-05-16	138.55	938.63	73.86	60.11
24-05-16	137.05	926.73	72.14	58.17
23-05-16	133.75	909.43	70.82	56.92
20-05-16	135.5	915.07	71.7	57.83
19-05-16	134.9	904.29	70.66	57.4
18-05-16	134.65	916.24	70.99	57.6
17-05-16	132.5	911.66	71.56	57.75
13-05-16	136.15	916.21	73.77	58.83
12-05-16	135.5	908.42	75.72	58.76
11-05-16	138.4	917.77	76.9	59.38
10-05-16	139.55	922.6	78.01	60.1
09-05-16	134.2	916.18	76.52	59.73
06-05-16	131.9	907.55	75.69	59.4
05-05-16	130.15	906.2	75.53	59.07
04-05-16	131.55	903.79	76.45	58.68
03-05-16	133.2	911.87	78.03	59.57
02-05-16	137.3	928	81.12	61.09
29-04-16	138.35	920.96	80.5	60.69
28-04-16	141.85	944.16	83.94	62.98
