PX LAST	BIAUTOEU Index	AUTMEUVS Index	LMCAVKMW Index	LMCASCOQ Index	LMCASGFD Index	O23ED006 Index	GRVHREG Index	WCAREMUY Index
31-12-16	#N/A N/A	#N/A N/A	#N/A N/A	#N/A N/A	#N/A N/A	#N/A N/A	256533	#N/A N/A
30-11-16	121.11	1417310	#N/A N/A	3226662.53	#N/A N/A	#N/A N/A	276567	5.3
31-10-16	123.14	1331146	1202016.37	3142245.66	13373845	#N/A N/A	262724	-1.2
30-09-16	123.31	1673114	1578992.67	3494088.48	14438382	#N/A N/A	298002	9.4
31-08-16	117.32	1023192	879842.09	3346951.57	13890479	#N/A N/A	245076	9.6
31-07-16	#N/A N/A	1318063	1205157.63	3413281.34	13378409	#N/A N/A	278866	-1.5
30-06-16	105.9	1701047	1575305.98	3461049.52	13911855	#N/A N/A	339563	7.8
31-05-16	117.3	1512096	1373911.23	3286886.42	14142794	#N/A N/A	286931	18.3
30-04-16	#N/A N/A	1505710	1370427.4	3217335.37	13285192	#N/A N/A	315921	9.7
31-03-16	121.12	1934878	1838714.51	3368331.03	14294581	#N/A N/A	322913	5.7
29-02-16	109.3	1244558	1131916.07	3517171	14112670	#N/A N/A	250146	14.4
31-01-16	#N/A N/A	1198762	1133991.76	3439866.01	13938124	#N/A N/A	218365	6.8
31-12-15	123.77	1417792	1213974.78	3363554.81	14564760	#N/A N/A	247355	17.3
30-11-15	129.91	1319621	1177816.22	3261829.16	13572757	#N/A N/A	272377	15.2
31-10-15	#N/A N/A	1321959	1200241.81	3159634.52	13017625	#N/A N/A	278372	3.1
30-09-15	115.35	1582765	1483845.44	3153203.57	13248028	#N/A N/A	272479	9.8
31-08-15	125.58	982046	795817.61	3167777.97	13292570	#N/A N/A	226314	11.6
31-07-15	134.53	1379743	1219680.31	3375839.4	13161942	#N/A N/A	290196	18
30-06-15	145.42	1622717	1478422.18	3280323.02	13215732	4.23	313539	14.7
31-05-15	#N/A N/A	1341255	1196870.22	3024736.15	12650733	-4.31	256385	0.3
30-04-15	152.12	1413041	1260581.24	3172972.39	12942056	0.15	291395	7.3
31-03-15	141.21	1853054	1745001.58	3196966.71	13148204	0.99	323039	13.3
28-02-15	#N/A N/A	1127354	993202	3225235.51	12851832	3.26	223254	7.7
31-01-15	#N/A N/A	1168684	1066358	3159402.43	12594344	-0.72	211337	6.8
31-12-14	116.72	1378825	1057206	3133789.1	12580561	2.93	229700	3
30-11-14	#N/A N/A	1278892	1041285	3004937.38	12292445	-1.01	250082	-0.2
31-10-14	127.57	1375882	1166268	3135306.6	12609728	3.31	275320	4.5
30-09-14	118.07	1516276	1348227	3019442.93	12021211	-0.53	260062	6.4
31-08-14	#N/A N/A	918397	721620	2992507.86	12102942	0.04	213092	-0.4
31-07-14	132.07	1309074	1124987	3154172.25	12175001	2.96	270249	4.7
30-06-14	142.1	1478744	1287351	3035471.29	12204324	-0.79	277614	2.4
31-05-14	#N/A N/A	1383438	1182290	2992517.62	11840045	-1.06	274804	2.8
30-04-14	143.17	1401241	1175564	2994466.34	12127005	0.74	274097	2.4
31-03-14	148.76	1771588	1560352	2943093.32	11839504	-0.35	296408	5.2
28-02-14	148.19	1128759	923736	3034338.51	11953053	3.91	209349	6.5
31-01-14	132.68	1145481	1002226	3089720.2	11874857	-6.98	205996	4.2
31-12-13	130.16	1315722	1000765	3060003.4	12236193	4.36	215320	11.4
30-11-13	#N/A N/A	1273706	1027031	2941939.79	11636259	1.54	254651	0.1
31-10-13	127.36	1328754	1097271	3022805.89	11925960	-1.02	265441	4.2
30-09-13	127.97	1496331	1264139	2984901.31	11786503	2.59	247199	1
31-08-13	#N/A N/A	971990	706956	2894589.02	11400580	-1.49	214044	-7.7
31-07-13	118.38	1314639	1064292	2954557.05	11585312	0.93	253146	3.4
30-06-13	#N/A N/A	1478931	1229072	2969674.86	11581350	1.19	282913	-9.4
31-05-13	115.95	1379422	1128191	2964206.36	11651330	-2.4	261316	-8.8
30-04-13	105.24	1386979	1133416	2983205.45	11333178	4.64	284444	-0.9
31-03-13	#N/A N/A	1645475	1422372	2903608.48	11244737	-1.23	281184	-15.8
28-02-13	97.95	1079953	863096	2908732.1	11322799	3.41	200683	-12.1
31-01-13	101.11	1107422	958432	2881145.04	11291489	-3.43	192090	-12.8
31-12-12	91.29	1212728	#N/A N/A	#N/A N/A	#N/A N/A	0.17	204331	-19.7
30-11-12	84.79	1281078	#N/A N/A	#N/A N/A	#N/A N/A	1.05	259846	-14.1
31-10-12	81.55	1314880	#N/A N/A	#N/A N/A	#N/A N/A	-2.59	259529	-8.4
30-09-12	#N/A N/A	1464315	#N/A N/A	#N/A N/A	#N/A N/A	-0.86	250082	-18.5
31-08-12	77.19	1041324	#N/A N/A	#N/A N/A	#N/A N/A	2.07	226455	-9.7
31-07-12	77.15	1291414	#N/A N/A	#N/A N/A	#N/A N/A	-5.01	247860	-11.1
30-06-12	#N/A N/A	1599950	#N/A N/A	#N/A N/A	#N/A N/A	1.7	296722	-3.9
31-05-12	76.23	1486217	#N/A N/A	#N/A N/A	#N/A N/A	0.25	289977	-11.8
30-04-12	92.16	1392907	#N/A N/A	#N/A N/A	#N/A N/A	-3.97	274066	-8.4
31-03-12	#N/A N/A	1821667	#N/A N/A	#N/A N/A	#N/A N/A	3.65	339123	-10.4
29-02-12	95.41	1173885	#N/A N/A	#N/A N/A	#N/A N/A	-3.05	224318	-12.1
31-01-12	86.92	1186815	#N/A N/A	#N/A N/A	#N/A N/A	-5.69	210195	-10.3
31-12-11	#N/A N/A	1379714	#N/A N/A	#N/A N/A	#N/A N/A	4.27	244501	-4.7
30-11-11	78.86	1380150	#N/A N/A	#N/A N/A	#N/A N/A	0.66	269144	-3.1
31-10-11	88.18	1358883	#N/A N/A	#N/A N/A	#N/A N/A	-1.55	258253	-1.9
30-09-11	73.87	1569531	#N/A N/A	#N/A N/A	#N/A N/A	-0.17	280689	1.5
31-08-11	89.41	1074654	#N/A N/A	#N/A N/A	#N/A N/A	-0.26	237561	8.2
31-07-11	#N/A N/A	1340856	#N/A N/A	#N/A N/A	#N/A N/A	5	260907	-1.8
30-06-11	116.33	1606778	#N/A N/A	#N/A N/A	#N/A N/A	-7.96	288382	-8.6
31-05-11	110.14	1574498	#N/A N/A	#N/A N/A	#N/A N/A	4.93	304543	8.6
30-04-11	#N/A N/A	1453975	#N/A N/A	#N/A N/A	#N/A N/A	-3.88	266251	-3.6
31-03-11	120.97	1914531	#N/A N/A	#N/A N/A	#N/A N/A	-3.91	327921	-4.6
28-02-11	124.68	1246198	#N/A N/A	#N/A N/A	#N/A N/A	-0.56	224426	0.8
31-01-11	130.53	1254477	#N/A N/A	#N/A N/A	#N/A N/A	3.04	211056	-0.2
31-12-10	128.82	1416494	#N/A N/A	#N/A N/A	#N/A N/A	0.9	230371	-3.2
30-11-10	116.59	1372269	#N/A N/A	#N/A N/A	#N/A N/A	3.83	262600	-9.3
31-10-10	#N/A N/A	1324828	#N/A N/A	#N/A N/A	#N/A N/A	0.43	256775	-18.4
30-09-10	106.53	1510123	#N/A N/A	#N/A N/A	#N/A N/A	2.5	259748	-12.2
31-08-10	87.33	963918	#N/A N/A	#N/A N/A	#N/A N/A	0.78	200885	-15.6
31-07-10	#N/A N/A	1305874	#N/A N/A	#N/A N/A	#N/A N/A	-4.69	237428	-21.4
30-06-10	84.37	1624043	#N/A N/A	#N/A N/A	#N/A N/A	2.58	289259	-10.8
31-05-10	81.71	1383377	#N/A N/A	#N/A N/A	#N/A N/A	0.16	249708	-13.7
30-04-10	95.19	1392854	#N/A N/A	#N/A N/A	#N/A N/A	-6.29	259414	-10.1
31-03-10	92.67	1861706	#N/A N/A	#N/A N/A	#N/A N/A	1.13	294375	7
28-02-10	#N/A N/A	1124276	#N/A N/A	#N/A N/A	#N/A N/A	-0.99	194846	3.1
31-01-10	#N/A N/A	1185177	#N/A N/A	#N/A N/A	#N/A N/A	-2.3	181189	12.9
31-12-09	86.1	1293532	#N/A N/A	#N/A N/A	#N/A N/A	-4.24	215564	16.6
30-11-09	88.9	1319634	#N/A N/A	#N/A N/A	#N/A N/A	-1.51	279725	27.7
