PX LAST	GRZECURR Index	GRZEWI Index
31-12-16	63.5	13.8
30-11-16	58.8	13.8
31-10-16	59.5	6.2
30-09-16	55.1	0.5
31-08-16	57.6	0.5
31-07-16	49.8	-6.8
30-06-16	54.5	19.2
31-05-16	53.1	6.4
30-04-16	47.7	11.2
31-03-16	50.7	4.3
29-02-16	52.3	1
31-01-16	59.7	10.2
31-12-15	55	16.1
30-11-15	54.4	10.4
31-10-15	55.2	1.9
30-09-15	67.5	12.1
31-08-15	65.7	25
31-07-15	63.9	29.7
30-06-15	62.9	31.5
31-05-15	65.7	41.9
30-04-15	70.2	53.3
31-03-15	55.1	54.8
28-02-15	45.5	53
31-01-15	22.4	48.4
31-12-14	10	34.9
30-11-14	3.3	11.5
31-10-14	3.2	-3.6
30-09-14	25.4	6.9
31-08-14	44.3	8.6
31-07-14	61.8	27.1
30-06-14	67.7	29.8
31-05-14	62.1	33.1
30-04-14	59.5	43.2
31-03-14	51.3	46.6
28-02-14	50	55.7
31-01-14	41.2	61.7
31-12-13	32.4	62
30-11-13	28.7	54.6
31-10-13	29.7	52.8
30-09-13	30.6	49.6
31-08-13	18.3	42
31-07-13	10.6	36.3
30-06-13	8.6	38.5
31-05-13	8.9	36.4
30-04-13	9.2	36.3
31-03-13	13.6	48.5
28-02-13	5.2	48.2
31-01-13	7.1	31.5
31-12-12	5.7	6.9
30-11-12	5.4	-15.7
31-10-12	10	-11.5
30-09-12	12.6	-18.2
31-08-12	18.2	-25.5
31-07-12	21.1	-19.6
30-06-12	33.2	-16.9
31-05-12	44.1	10.8
30-04-12	40.7	23.4
31-03-12	37.6	22.3
29-02-12	40.3	5.4
31-01-12	28.4	-21.6
31-12-11	26.8	-53.8
30-11-11	34.2	-55.2
31-10-11	38.4	-48.3
30-09-11	43.6	-43.3
31-08-11	53.5	-37.6
31-07-11	90.6	-15.1
30-06-11	87.6	-9
31-05-11	91.5	3.1
30-04-11	87.1	7.6
31-03-11	85.4	14.1
28-02-11	85.2	15.7
31-01-11	82.8	15.4
31-12-10	82.6	4.3
30-11-10	81.5	1.8
31-10-10	72.6	-7.2
30-09-10	59.9	-4.3
31-08-10	44.3	14
31-07-10	14.6	21.2
30-06-10	-7.9	28.7
31-05-10	-21.6	45.8
30-04-10	-39.2	53
31-03-10	-51.9	44.5
28-02-10	-54.8	45.1
31-01-10	-56.6	47.2
31-12-09	-60.6	50.4
30-11-09	-65.6	51.1
31-10-09	-72.2	56
30-09-09	-74	57.7
31-08-09	-77.2	56.1
31-07-09	-89.3	39.5
30-06-09	-89.7	44.8
31-05-09	-92.8	31.1
30-04-09	-91.6	13
31-03-09	-89.4	-3.5
28-02-09	-86.2	-5.8
31-01-09	-77.1	-31
31-12-08	-64.5	-45.2
30-11-08	-50.4	-53.5
31-10-08	-35.9	-63
30-09-08	-1	-41.1
31-08-08	-9.2	-55.5
31-07-08	17	-63.9
30-06-08	37.6	-52.4
31-05-08	38.6	-41.4
30-04-08	33.2	-40.7
31-03-08	32.1	-32
29-02-08	33.7	-39.5
31-01-08	56.6	-41.6
31-12-07	63.5	-37.2
30-11-07	70	-32.5
31-10-07	70.2	-18.1
30-09-07	74.4	-18.1
31-08-07	80.2	-6.9
31-07-07	88.2	10.4
30-06-07	88.7	20.3
31-05-07	88	24
30-04-07	76.9	16.5
31-03-07	69.2	5.8
28-02-07	70.9	2.9
31-01-07	70.6	-3.6
31-12-06	63.5	-19
30-11-06	53	-28.5
31-10-06	42.9	-27.4
30-09-06	38.9	-22.2
31-08-06	33.6	-5.6
31-07-06	23.3	15.1
30-06-06	11.9	37.8
31-05-06	8.7	50
30-04-06	2.9	62.7
31-03-06	-8.4	63.4
28-02-06	-19.5	69.8
31-01-06	-31.6	71
31-12-05	-44.4	61.6
